High,Low,Open,Close,Volume,Adj Close
6.159999847412109,5.820000171661377,5.980000019073486,5.929999828338623,3611600,5.929999828338623
6.440000057220459,5.929999828338623,5.929999828338623,6.389999866485596,4174500,6.389999866485596
6.619999885559082,6.230000019073486,6.329999923706055,6.429999828338623,4071400,6.429999828338623
6.550000190734863,6.03000020980835,6.5,6.420000076293945,4268200,6.420000076293945
6.429999828338623,6.25,6.320000171661377,6.349999904632568,2645400,6.349999904632568
6.489999771118164,6.170000076293945,6.380000114440918,6.190000057220459,2854700,6.190000057220459
6.25,5.789999961853027,6.210000038146973,5.809999942779541,3918800,5.809999942779541
5.829999923706055,5.519999980926514,5.760000228881836,5.730000019073486,3739500,5.730000019073486
5.690000057220459,5.309999942779541,5.630000114440918,5.440000057220459,4358600,5.440000057220459
6.0,5.429999828338623,5.449999809265137,5.840000152587891,5210400,5.840000152587891
6.019999980926514,5.769999980926514,5.900000095367432,5.849999904632568,3670000,5.849999904632568
6.199999809265137,5.860000133514404,5.880000114440918,5.909999847412109,3374100,5.909999847412109
6.190000057220459,5.820000171661377,5.900000095367432,6.090000152587891,4128300,6.090000152587891
6.320000171661377,6.039999961853027,6.179999828338623,6.21999979019165,3129300,6.21999979019165
6.28000020980835,6.050000190734863,6.170000076293945,6.090000152587891,1968700,6.090000152587891
6.090000152587891,5.769999980926514,6.050000190734863,6.019999980926514,3109400,6.019999980926514
6.070000171661377,5.869999885559082,6.03000020980835,5.920000076293945,1834500,5.920000076293945
5.96999979019165,5.809999942779541,5.909999847412109,5.940000057220459,1533600,5.940000057220459
6.110000133514404,5.900000095367432,5.949999809265137,5.980000019073486,1708700,5.980000019073486
6.010000228881836,5.849999904632568,6.0,5.880000114440918,2165900,5.880000114440918
5.849999904632568,5.610000133514404,5.849999904632568,5.619999885559082,2995900,5.619999885559082
5.659999847412109,5.449999809265137,5.570000171661377,5.5,3360500,5.5
5.539999961853027,5.360000133514404,5.539999961853027,5.460000038146973,2666700,5.460000038146973
5.579999923706055,5.349999904632568,5.460000038146973,5.5,2784000,5.5
5.849999904632568,5.5,5.590000152587891,5.659999847412109,3493100,5.659999847412109
6.059999942779541,5.630000114440918,5.670000076293945,6.03000020980835,2744900,6.03000020980835
6.260000228881836,6.010000228881836,6.03000020980835,6.099999904632568,2648700,6.099999904632568
6.389999866485596,6.019999980926514,6.099999904632568,6.349999904632568,3030000,6.349999904632568
6.389999866485596,6.239999771118164,6.329999923706055,6.340000152587891,1369000,6.340000152587891
6.460000038146973,6.090000152587891,6.349999904632568,6.170000076293945,2060600,6.170000076293945
6.179999828338623,5.929999828338623,6.039999961853027,6.119999885559082,2214900,6.119999885559082
6.489999771118164,6.119999885559082,6.170000076293945,6.429999828338623,2872400,6.429999828338623
6.519999980926514,6.239999771118164,6.320000171661377,6.400000095367432,4381400,6.400000095367432
6.679999828338623,6.389999866485596,6.389999866485596,6.679999828338623,4757300,6.679999828338623
6.920000076293945,6.190000057220459,6.650000095367432,6.329999923706055,6250600,6.329999923706055
6.539999961853027,6.119999885559082,6.289999961853027,6.510000228881836,9594900,6.510000228881836
5.809999942779541,5.179999828338623,5.25,5.53000020980835,19517800,5.53000020980835
5.710000038146973,5.409999847412109,5.460000038146973,5.579999923706055,6387300,5.579999923706055
5.619999885559082,5.239999771118164,5.46999979019165,5.449999809265137,5439000,5.449999809265137
5.590000152587891,5.389999866485596,5.389999866485596,5.5,4406900,5.5
6.079999923706055,5.489999771118164,5.5,6.059999942779541,4141400,6.059999942779541
6.269999980926514,5.929999828338623,6.059999942779541,6.159999847412109,5264100,6.159999847412109
6.239999771118164,6.03000020980835,6.210000038146973,6.059999942779541,4452000,6.059999942779541
6.21999979019165,5.960000038146973,6.059999942779541,5.989999771118164,5484600,5.989999771118164
6.070000171661377,5.539999961853027,6.050000190734863,5.610000133514404,6282700,5.610000133514404
5.670000076293945,5.440000057220459,5.650000095367432,5.440000057220459,3395500,5.440000057220459
5.510000228881836,5.25,5.46999979019165,5.400000095367432,4264400,5.400000095367432
5.980000019073486,5.389999866485596,5.420000076293945,5.900000095367432,11041300,5.900000095367432
6.25,5.760000228881836,5.880000114440918,6.130000114440918,4482100,6.130000114440918
6.389999866485596,5.989999771118164,6.079999923706055,6.079999923706055,4322600,6.079999923706055
6.46999979019165,6.070000171661377,6.139999866485596,6.309999942779541,4453600,6.309999942779541
6.25,5.840000152587891,6.210000038146973,5.880000114440918,3543900,5.880000114440918
5.909999847412109,5.599999904632568,5.800000190734863,5.849999904632568,3394800,5.849999904632568
5.829999923706055,5.440000057220459,5.769999980926514,5.519999980926514,5228000,5.519999980926514
5.849999904632568,5.409999847412109,5.489999771118164,5.71999979019165,5629400,5.71999979019165
5.820000171661377,5.480000019073486,5.820000171661377,5.550000190734863,2643000,5.550000190734863
5.599999904632568,5.380000114440918,5.559999942779541,5.429999828338623,2781400,5.429999828338623
5.610000133514404,5.329999923706055,5.429999828338623,5.429999828338623,3625200,5.429999828338623
5.0,4.53000020980835,4.78000020980835,4.710000038146973,12561900,4.710000038146973
4.730000019073486,4.550000190734863,4.659999847412109,4.610000133514404,4981100,4.610000133514404
4.710000038146973,4.519999980926514,4.610000133514404,4.619999885559082,4287100,4.619999885559082
4.75,4.510000228881836,4.579999923706055,4.75,4019500,4.75
4.75,4.550000190734863,4.75,4.590000152587891,3532100,4.590000152587891
4.639999866485596,4.460000038146973,4.550000190734863,4.559999942779541,2627500,4.559999942779541
4.639999866485596,4.460000038146973,4.550000190734863,4.619999885559082,1880200,4.619999885559082
