Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2019/11/15,GME,GME,S,EDGX,590
2019/11/18,GME,GME,S,BATS,2258
2019/11/18,GME,GME,S,C2,5652
2019/11/18,GME,GME,S,CBOE,1807
2019/11/18,GME,GME,S,EDGX,2051
2019/11/19,GME,GME,S,BATS,1627
2019/11/19,GME,GME,S,C2,6026
2019/11/19,GME,GME,S,CBOE,3585
2019/11/19,GME,GME,S,EDGX,1992
2019/11/20,GME,GME,S,BATS,844
2019/11/20,GME,GME,S,C2,139
2019/11/20,GME,GME,S,CBOE,688
2019/11/20,GME,GME,S,EDGX,337
2019/11/21,GME,GME,S,BATS,590
2019/11/21,GME,GME,S,CBOE,477
2019/11/21,GME,GME,S,EDGX,17
2019/11/22,GME,GME,S,BATS,1265
2019/11/22,GME,GME,S,C2,40
2019/11/22,GME,GME,S,CBOE,1284
2019/11/22,GME,GME,S,EDGX,511
2019/11/25,GME,GME,S,BATS,3089
2019/11/25,GME,GME,S,C2,18
2019/11/25,GME,GME,S,CBOE,2269
2019/11/25,GME,GME,S,EDGX,1021
2019/11/26,GME,GME,S,BATS,1919
2019/11/26,GME,GME,S,C2,3
2019/11/26,GME,GME,S,CBOE,4421
2019/11/26,GME,GME,S,EDGX,966
2019/11/27,GME,GME,S,BATS,1453
2019/11/27,GME,GME,S,C2,15
2019/11/27,GME,GME,S,CBOE,2471
2019/11/27,GME,GME,S,EDGX,720
2019/11/29,GME,GME,S,BATS,207
2019/11/29,GME,GME,S,C2,5
2019/11/29,GME,GME,S,CBOE,274
2019/11/29,GME,GME,S,EDGX,86
2019/12/02,GME,GME,S,BATS,1598
2019/12/02,GME,GME,S,C2,1
2019/12/02,GME,GME,S,CBOE,577
2019/12/02,GME,GME,S,EDGX,187
2019/12/03,GME,GME,S,BATS,213
2019/12/03,GME,GME,S,CBOE,766
2019/12/03,GME,GME,S,EDGX,368
2019/12/04,GME,GME,S,BATS,1036
2019/12/04,GME,GME,S,C2,45
2019/12/04,GME,GME,S,CBOE,717
2019/12/04,GME,GME,S,EDGX,399
2019/12/05,GME,GME,S,BATS,1452
2019/12/05,GME,GME,S,C2,41
2019/12/05,GME,GME,S,CBOE,745
2019/12/05,GME,GME,S,EDGX,201
2019/12/06,GME,GME,S,BATS,2715
2019/12/06,GME,GME,S,C2,91
2019/12/06,GME,GME,S,CBOE,1777
2019/12/06,GME,GME,S,EDGX,470
2019/12/09,GME,GME,S,BATS,4748
2019/12/09,GME,GME,S,C2,266
2019/12/09,GME,GME,S,CBOE,3646
2019/12/09,GME,GME,S,EDGX,1764
2019/12/10,GME,GME,S,BATS,7571
2019/12/10,GME,GME,S,C2,536
2019/12/10,GME,GME,S,CBOE,7878
2019/12/10,GME,GME,S,EDGX,1871
2019/12/11,GME,GME,S,BATS,9774
2019/12/11,GME,GME,S,C2,652
2019/12/11,GME,GME,S,CBOE,12245
2019/12/11,GME,GME,S,EDGX,3468
2019/12/12,GME,GME,S,BATS,3244
2019/12/12,GME,GME,S,C2,2956
2019/12/12,GME,GME,S,CBOE,2821
2019/12/12,GME,GME,S,EDGX,1919
2019/12/13,GME,GME,S,BATS,1910
2019/12/13,GME,GME,S,C2,236
2019/12/13,GME,GME,S,CBOE,1795
2019/12/13,GME,GME,S,EDGX,607
2019/12/16,GME,GME,S,BATS,8634
2019/12/16,GME,GME,S,C2,2048
2019/12/16,GME,GME,S,CBOE,2790
2019/12/16,GME,GME,S,EDGX,929
2019/12/17,GME,GME,S,BATS,4716
2019/12/17,GME,GME,S,C2,419
2019/12/17,GME,GME,S,CBOE,2980
