Trade Date,Volume
2021-01-07,17014
2021-01-08,23640
2021-01-11,34063
2021-01-12,16805
2021-01-13,208526
2021-01-14,165843
2021-01-15,156259
2021-01-19,175611
2021-01-20,111505
2021-01-21,169932
2021-01-22,677918
2021-01-25,374235
2021-01-26,414985
2021-01-27,379395
2021-01-28,229927
2021-01-29,215499
2021-02-01,174776
2021-02-02,235666
2021-02-03,148764
2021-02-04,241233
2021-02-05,230011
2021-02-08,111981
2021-02-09,127067
2021-02-10,122174
2021-02-11,80988
2021-02-12,100691
2021-02-16,84379
2021-02-17,60793
2021-02-18,86182
2021-02-19,100763
2021-02-22,81215
2021-02-23,32943
2021-02-24,103101
2021-02-25,340671
2021-02-26,219418
2021-03-01,100239
2021-03-02,102873
2021-03-03,66123
2021-03-04,96827
2021-03-05,95609
2021-03-08,134813
2021-03-09,90863
2021-03-10,196779
2021-03-11,108618
2021-03-12,134182
2021-03-15,78762
2021-03-16,88908
2021-03-17,48994
2021-03-18,65676
2021-03-19,109958
2021-03-22,42261
2021-03-23,62583
2021-03-24,109448
2021-03-25,137063
2021-03-26,135985
2021-03-29,49526
2021-03-30,67136
2021-03-31,52440
2021-04-01,75202
2021-04-05,85889
2021-04-06,37815
2021-04-07,52382
2021-04-08,55645
2021-04-09,80137
2021-04-12,70960
2021-04-13,37612
2021-04-14,91212
2021-04-15,61099
2021-04-16,57763
2021-04-19,46392
2021-04-20,22732
2021-04-21,25700
2021-04-22,32187
2021-04-23,45387
2021-04-26,52595
2021-04-27,42898
2021-04-28,30429
2021-04-29,40845
2021-04-30,38662
2021-05-03,26546
2021-05-04,22213
2021-05-05,17834
2021-05-06,23436
2021-05-07,38539
2021-05-10,29540
2021-05-11,27106
2021-05-12,22390
2021-05-13,53164
2021-05-14,36527
2021-05-17,38992
2021-05-18,32877
2021-05-19,22908
2021-05-20,15385
2021-05-21,42582
2021-05-24,31420
2021-05-25,72158
2021-05-26,84091
2021-05-27,75237
2021-05-28,74723
2021-06-01,36455
2021-06-02,60570
2021-06-03,43121
2021-06-04,34761
2021-06-07,30102
2021-06-08,51367
2021-06-09,57500
2021-06-10,112636
2021-06-11,90077
2021-06-14,28853
2021-06-15,31823
2021-06-16,70615
2021-06-17,44934
2021-06-18,36833
2021-06-21,36355
2021-06-22,35567
2021-06-23,40545
2021-06-24,45001
2021-06-25,69464
2021-06-28,34456
2021-06-29,21427
2021-06-30,24131
2021-07-01,32281
2021-07-02,35721
2021-07-06,21880
2021-07-07,28195
2021-07-08,20831
2021-07-09,24317
2021-07-12,21648
2021-07-13,21795
2021-07-14,34289
2021-07-15,35655
2021-07-16,39602
2021-07-19,22122
2021-07-20,26536
2021-07-21,18010
2021-07-22,17045
2021-07-23,21226
2021-07-26,14727
2021-07-27,9712
2021-07-28,24854
2021-07-29,17104
2021-07-30,24735
2021-08-02,18761
2021-08-03,20776
2021-08-04,16467
2021-08-05,19145
2021-08-06,15065
2021-08-09,20891
2021-08-10,14890
2021-08-11,9844
2021-08-12,14372
2021-08-13,20891
2021-08-16,18677
2021-08-17,12525
2021-08-18,10381
2021-08-19,15682
2021-08-20,18037
2021-08-23,16363
2021-08-24,112302
2021-08-25,68599
2021-08-26,57070
2021-08-27,42843
2021-08-30,30376
2021-08-31,28329
2021-09-01,29797
2021-09-02,21651
2021-09-03,44393
2021-09-07,21458
2021-09-08,41367
2021-09-09,74061
2021-09-10,38628
2021-09-13,37649
2021-09-14,19233
2021-09-15,18926
2021-09-16,33851
2021-09-17,30794
2021-09-20,26815
2021-09-21,15389
2021-09-22,11289
2021-09-23,14580
2021-09-24,17884
2021-09-27,15093
2021-09-28,14799
2021-09-29,13223
2021-09-30,36684
2021-10-01,25741
