Date,Open,High,Low,Close,Adj Close,Volume,MEAN,%Change,Log%Chang,Variance,Stdev,Volitility (w/ 21days),Sharpe Ratio,,
2019-10-01,5.64,5.82,5.49,5.58,5.58,6592400,65.96,0.048872180451128,0.047715473039667,0.013335729947533,0.115480431015532,0.529197816414802,3.10938821166451,,
2019-10-02,5.55,5.55,5.24,5.32,5.32,8154900,66.08,-0.018450184501845,-0.018622512098002,0.013356354078589,0.115569693599098,0.529606868960719,-1.26828440407239,,return = logarithm(current closing price / previous closing price)
2019-10-03,5.30,5.48,5.23,5.42,5.42,4346700,66.20,-0.023423423423423,-0.023702112306788,0.013382740988497,0.115683797432903,0.530129758416217,-1.60675508309131,,volatility = std(returns) * sqrt(trading days)
2019-10-04,5.43,5.56,5.37,5.55,5.55,4213100,66.32,0.010928961748634,0.010869672236904,0.013408942540765,0.115796988478826,0.53064846495215,0.68317501798871,,sharpe_ratio = (mean(returns) - risk-free rate) / volatility
2019-10-07,5.48,5.58,5.41,5.49,5.49,4154800,66.44,0.049713193116635,0.048516977444608,0.01343518057543,0.115910226362603,0.531167386126094,3.18582474769354,,risk free- at avg 2%
2019-10-08,5.43,5.44,5.16,5.23,5.23,4823100,66.56,0.04809619238477,0.046975368313404,0.013455973255094,0.115999884720177,0.531578252336363,3.08915534816862,,Volatility calculated at 21 days 
2019-10-09,5.25,5.30,4.96,4.99,4.99,5809600,66.69,-0.011881188118812,-0.011952333523841,0.013477165274177,0.116091193783924,0.531996683032617,-0.834635699272602,,
2019-10-10,5.02,5.15,4.96,5.05,5.05,5228000,66.81,-0.059590316573557,-0.061439665233505,0.013504290361991,0.116207961697946,0.532531780837367,-4.14227261862387,,
2019-10-11,5.14,5.49,5.14,5.37,5.37,5909200,66.93,-0.037634408602151,-0.038360867872446,0.013525603054407,0.116299626200632,0.532951840359467,-2.6051409069788,,
2019-10-14,5.32,5.59,5.22,5.58,5.58,5273900,67.06,-0.005347593582888,-0.005361943141385,0.013550991650231,0.116408726692766,0.533451801623026,-0.397048984711104,,
2019-10-15,5.60,5.91,5.59,5.61,5.61,6350900,67.18,-0.045918367346939,-0.047006042375931,0.013578473217642,0.116526706027595,0.53399245085532,-3.19538895834652,,
2019-10-16,5.58,5.91,5.58,5.88,5.88,3868700,67.31,-0.024875621890547,-0.025190248828559,0.013602807149726,0.11663107283107,0.534470719632284,-1.73287793905517,,
2019-10-17,5.89,6.05,5.80,6.03,6.03,3606600,67.43,0.015151515151515,0.015037877364541,0.013629827849264,0.116746853701775,0.535001294236319,0.9766316584048,,
2019-10-18,6.03,6.05,5.77,5.94,5.94,3197100,67.56,0.001686340640809,0.001684920364919,0.013656664025781,0.116861730373039,0.535527725277971,0.076479312232102,,
2019-10-21,5.98,6.16,5.82,5.93,5.93,3611600,67.68,-0.071987480438185,-0.074710055379809,0.01368444089237,0.116980515011562,0.5360720648754,-5.09375951711381,,
2019-10-22,5.93,6.44,5.93,6.39,6.39,4174500,67.81,-0.006220839813375,-0.006240269860085,0.013703044623899,0.117060004373395,0.536436330892946,-0.460417187820017,,
2019-10-23,6.33,6.62,6.23,6.43,6.43,4071400,67.93,0.001557632398754,0.001556420547658,0.013731181705275,0.117180125043776,0.536986792957494,0.068486857887579,,
2019-10-24,6.50,6.55,6.03,6.42,6.42,4268200,68.06,0.011023622047244,0.01096330479727,0.013759292027418,0.117300008642021,0.537536168621033,0.708940897587443,,
2019-10-25,6.32,6.43,6.25,6.35,6.35,2645400,68.19,0.025848142164782,0.025519726208096,0.013787010310376,0.117418100437608,0.538077333213267,1.7028986533722,,
2019-10-28,6.38,6.49,6.17,6.19,6.19,2854700,68.31,0.065404475043029,0.063354515832685,0.013813329311829,0.117530120870475,0.538590675326262,4.29076814754941,,
2019-10-29,6.21,6.25,5.79,5.81,5.81,3918800,68.44,0.013961605584642,0.013865040137172,0.013831689571897,0.117608203676006,0.53894849569308,0.911821481353772,,
2019-10-30,5.76,5.83,5.52,5.73,5.73,3739500,68.57,0.053308823529412,0.051936469858797,0.013859477369405,0.117726281557707,0.539489596523875,3.52420843779079,,
2019-10-31,5.63,5.69,5.31,5.44,5.44,4358600,68.70,-0.068493150684932,-0.070951735972284,0.013881034105961,0.11781780046309,0.539908988835314,-4.91143047410243,,
2019-11-01,5.45,6.00,5.43,5.84,5.84,5210400,68.83,-0.001709401709402,-0.001710864403629,0.01390146988184,0.117904494748249,0.540306271959373,-0.154777040104642,,
2019-11-04,5.90,6.02,5.77,5.85,5.85,3670000,68.96,-0.01015228426396,-0.010204170174242,0.013930431559361,0.118027249223903,0.540868803635953,-0.740680030109394,,
2019-11-05,5.88,6.20,5.86,5.91,5.91,3374100,69.09,-0.029556650246305,-0.030002250303799,0.013959554331274,0.118150557896581,0.541433874962347,-2.10990630671924,,
2019-11-06,5.90,6.19,5.82,6.09,6.09,4128300,69.23,-0.020900321543408,-0.021121825029283,0.013987715710327,0.118269673671348,0.54197973201668,-1.49907353413664,,
2019-11-07,6.18,6.32,6.04,6.22,6.22,3129300,69.36,0.021346469622332,0.021121825029283,0.014016683668792,0.118392076038861,0.542540650131049,1.42809802034847,,
2019-11-08,6.17,6.28,6.05,6.09,6.09,1968700,69.49,0.011627906976744,0.011560822401076,0.014044523885011,0.118509594063143,0.543079185372844,0.766535475158031,,
2019-11-11,6.05,6.09,5.77,6.02,6.02,3109400,69.62,0.016891891891892,0.016750810424815,0.014073420590715,0.118631448573785,0.543637592891631,1.12945710361546,,
2019-11-12,6.03,6.07,5.87,5.92,5.92,1834500,69.76,-0.003367003367003,-0.003372684478639,0.014101968944406,0.118751711332537,0.544188706086894,-0.272020911582725,,
2019-11-13,5.91,5.97,5.81,5.94,5.94,1533600,69.89,-0.006688963210703,-0.006711434587987,0.014131815703223,0.11887731366086,0.544764288263897,-0.505787748959847,,
2019-11-14,5.95,6.11,5.90,5.98,5.98,1708700,70.03,0.017006802721089,0.016863806052005,0.014161819133823,0.119003441688982,0.545342279500022,1.14424856403052,,
2019-11-15,6.00,6.01,5.85,5.88,5.88,2165900,70.16,0.04626334519573,0.045225098004936,0.014190720194922,0.119124809317461,0.545898455844447,3.13648058284297,,
2019-11-18,5.85,5.85,5.61,5.62,5.62,2995900,70.30,0.021818181818182,0.021583571667174,0.014215102775995,0.119227105877797,0.546367237575519,1.4807031735464,,
2019-11-19,5.57,5.66,5.45,5.50,5.50,3360500,70.44,0.007326007326007,0.007299302481612,0.014243687849237,0.11934692224451,0.546916305145476,0.477571214630829,,
2019-11-20,5.54,5.54,5.36,5.46,5.46,2666700,70.58,-0.007272727272727,-0.007299302481612,0.014273725646642,0.119472698331635,0.547492683585341,-0.551680697307301,,
2019-11-21,5.46,5.58,5.35,5.50,5.50,2784000,70.71,-0.028268551236749,-0.028675799976666,0.014304355930615,0.119600819105116,0.548079806727913,-2.06428429815917,,
2019-11-22,5.59,5.85,5.50,5.66,5.66,3493100,70.85,-0.061359867330017,-0.063323118524003,0.014334143794175,0.119725284690306,0.548650179693466,-4.5231550301408,,
2019-11-25,5.67,6.06,5.63,6.03,6.03,2744900,70.99,-0.011475409836066,-0.011541760440171,0.014358274330992,0.119826016920332,0.54911179276248,-0.855818096500119,,
2019-11-26,6.03,6.26,6.01,6.10,6.10,2648700,71.13,-0.039370078740158,-0.040166041725335,0.014389245833456,0.119955182603571,0.549703704283115,-2.89354235261434,,
2019-11-27,6.10,6.39,6.02,6.35,6.35,3030000,71.27,0.001577287066246,0.001576044455466,0.014418039674129,0.120075141782674,0.550253426301659,0.075983879591833,,
2019-11-29,6.33,6.39,6.24,6.34,6.34,1369000,71.41,0.027552674230146,0.027179930531838,0.014449149017269,0.120204613128069,0.550846738542259,1.9047220478745,,
2019-12-02,6.35,6.46,6.09,6.17,6.17,2060600,71.55,0.008169934640523,0.008136741393062,0.014477986999817,0.120324507062429,0.551396161571828,0.54595243947971,,
2019-12-03,6.04,6.18,5.93,6.12,6.12,2214900,71.70,-0.048211508553655,-0.049412441725293,0.014509011729959,0.120453359147678,0.551986636005934,-3.5789451228391,,
2019-12-04,6.17,6.49,6.12,6.43,6.43,2872400,71.84,0.0046875,0.004676547883902,0.014536809341262,0.120568691380732,0.552515154693972,0.299761945883084,,
2019-12-05,6.32,6.52,6.24,6.40,6.40,4381400,71.98,-0.041916167664671,-0.042819997182928,0.014568309037391,0.120699250359691,0.553113451097708,-3.11842070423546,,
2019-12-06,6.39,6.68,6.39,6.68,6.68,4757300,72.13,0.055292259083728,0.05381775139247,0.014597473210675,0.120820003354885,0.55366681083858,3.84548368172063,,
2019-12-09,6.65,6.92,6.19,6.33,6.33,6250600,72.27,-0.027649769585254,-0.028039220064393,0.014621367806466,0.120918848019928,0.554119773998179,-2.06243801397768,,
2019-12-10,6.29,6.54,6.12,6.51,6.51,9594900,72.41,0.177215189873418,0.163151640686234,0.01465262265766,0.121048017983195,0.554711705132369,11.7782170715654,,
2019-12-11,5.25,5.81,5.18,5.53,5.53,19517800,72.56,-0.008960573476702,-0.009000960858976,0.01462073615652,0.120916236116246,0.554107804751852,-0.689182809290126,,
2019-12-12,5.46,5.71,5.41,5.58,5.58,6387300,72.71,0.023853211009174,0.023573167718067,0.014653078659747,0.121049901527209,0.554720336615386,1.67784022260284,,
2019-12-13,5.47,5.62,5.24,5.45,5.45,5439000,72.85,-0.009090909090909,-0.009132483563272,0.014683407720536,0.121175111803273,0.555294122183235,-0.701350228509229,,
2019-12-16,5.39,5.59,5.39,5.50,5.50,4406900,73.00,-0.092409240924092,-0.096961707842798,0.014716032823881,0.121309656762685,0.555910684644117,-7.11443479704526,,
2019-12-17,5.50,6.08,5.49,6.06,6.06,4141400,73.15,-0.016233766233766,-0.016366977464205,0.014731014371096,0.121371390249498,0.556193583020348,-1.23324048253952,,
